位置,手牌,大桶,FullEV,DLEv,DLEv_corrected,DLEv偏差%,修正后偏差%
OOP,8c6c,桶7:纯空气,2.96,4.47,3.30,+50.8%,+11.4%
OOP,8c7c,桶7:纯空气,3.05,4.75,3.51,+55.5%,+14.9%
OOP,8c5c,桶7:纯空气,3.19,4.42,3.27,+38.7%,+2.5%
OOP,7c6c,桶7:纯空气,3.32,4.15,3.07,+25.1%,-7.6%
OOP,9c6c,桶7:纯空气,3.38,5.13,3.79,+51.8%,+12.1%
OOP,9c7c,桶7:纯空气,3.51,5.50,4.06,+56.6%,+15.7%
OOP,7c5c,桶7:纯空气,3.55,4.12,3.04,+16.2%,-14.2%
OOP,6c5c,桶7:纯空气,4.68,4.26,3.15,-9.0%,-32.7%
OOP,8d6d,桶6:弱听牌,5.31,5.78,5.94,+8.8%,+11.8%
OOP,8d7d,桶6:弱听牌,5.36,6.10,6.26,+13.7%,+16.8%
OOP,9d6d,桶6:弱听牌,5.43,6.25,6.42,+15.0%,+18.1%
OOP,8s6s,桶6:弱听牌,5.45,5.74,5.90,+5.5%,+8.3%
OOP,9d7d,桶6:弱听牌,5.49,6.61,6.79,+20.4%,+23.7%
OOP,8h6h,桶6:弱听牌,5.50,5.79,5.94,+5.3%,+8.1%
OOP,8d5d,桶6:弱听牌,5.52,5.59,5.74,+1.3%,+4.0%
OOP,8s7s,桶6:弱听牌,5.52,6.02,6.19,+9.0%,+12.0%
OOP,9s6s,桶6:弱听牌,5.56,6.21,6.38,+11.7%,+14.8%
OOP,8s5s,桶6:弱听牌,5.60,5.53,5.68,-1.1%,+1.5%
OOP,8h7h,桶6:弱听牌,5.60,6.07,6.24,+8.5%,+11.4%
OOP,9h6h,桶6:弱听牌,5.63,6.23,6.40,+10.6%,+13.6%
OOP,9s7s,桶6:弱听牌,5.64,6.59,6.76,+16.8%,+20.0%
OOP,8h5h,桶6:弱听牌,5.66,5.56,5.71,-1.8%,+0.9%
OOP,9h7h,桶6:弱听牌,5.73,6.60,6.78,+15.1%,+18.2%
OOP,7d6d,桶6:弱听牌,5.95,5.39,5.53,-9.4%,-7.0%
OOP,7s6s,桶6:弱听牌,6.01,5.42,5.57,-9.8%,-7.3%
OOP,7h6h,桶6:弱听牌,6.03,5.46,5.61,-9.4%,-7.0%
OOP,7d5d,桶6:弱听牌,6.16,5.28,5.42,-14.3%,-12.0%
OOP,7s5s,桶6:弱听牌,6.19,5.27,5.41,-15.0%,-12.7%
OOP,7h5h,桶6:弱听牌,6.20,5.30,5.44,-14.6%,-12.3%
OOP,Ac5c,桶7:纯空气,6.91,9.99,7.38,+44.5%,+6.8%
OOP,Ac8c,桶7:纯空气,7.18,11.62,8.58,+61.7%,+19.5%
