位置,手牌,大桶,FullEV,DLEv,DLEv_corrected,DLEv偏差%,修正后偏差%
OOP,9s6s,桶7:纯空气,5.59,6.28,4.22,+12.3%,-24.6%
OOP,8s6s,桶7:纯空气,5.61,6.15,4.13,+9.6%,-26.5%
OOP,As4s,桶7:纯空气,5.62,10.48,7.03,+86.5%,+25.2%
OOP,8s7s,桶7:纯空气,5.92,6.34,4.25,+7.0%,-28.2%
OOP,9s7s,桶7:纯空气,5.93,6.45,4.33,+8.8%,-27.0%
OOP,9s8s,桶7:纯空气,6.09,6.63,4.45,+8.8%,-27.0%
OOP,7s6s,桶7:纯空气,6.13,6.56,4.40,+7.1%,-28.1%
OOP,As8s,桶7:纯空气,6.27,11.79,7.91,+88.1%,+26.2%
OOP,As9s,桶7:纯空气,6.82,12.21,8.19,+79.1%,+20.2%
OOP,9d6d,桶6:弱听牌,7.33,7.63,6.65,+4.1%,-9.3%
OOP,9h6h,桶6:弱听牌,7.33,7.63,6.65,+4.1%,-9.3%
OOP,8d6d,桶6:弱听牌,7.42,7.54,6.57,+1.7%,-11.4%
OOP,8h6h,桶6:弱听牌,7.42,7.54,6.57,+1.7%,-11.4%
OOP,9c6c,桶6:弱听牌,7.49,7.69,6.70,+2.6%,-10.6%
OOP,8c6c,桶6:弱听牌,7.51,7.58,6.61,+1.0%,-12.0%
OOP,9d7d,桶6:弱听牌,7.68,7.97,6.94,+3.7%,-9.6%
OOP,9h7h,桶6:弱听牌,7.68,7.97,6.94,+3.7%,-9.6%
OOP,AsTs,桶7:纯空气,7.71,13.40,8.99,+73.8%,+16.6%
OOP,8d7d,桶6:弱听牌,7.76,7.87,6.86,+1.5%,-11.6%
OOP,8h7h,桶6:弱听牌,7.76,7.87,6.86,+1.5%,-11.6%
OOP,9c7c,桶6:弱听牌,7.83,8.00,6.97,+2.2%,-11.0%
OOP,8c7c,桶6:弱听牌,7.83,7.88,6.87,+0.7%,-12.3%
OOP,7d6d,桶6:弱听牌,7.89,7.90,6.88,+0.1%,-12.8%
OOP,7h6h,桶6:弱听牌,7.89,7.90,6.88,+0.1%,-12.8%
OOP,9c8c,桶6:弱听牌,7.99,8.12,7.08,+1.7%,-11.4%
OOP,9d8d,桶6:弱听牌,7.99,8.06,7.02,+0.9%,-12.2%
OOP,9h8h,桶6:弱听牌,7.99,8.06,7.02,+0.9%,-12.2%
OOP,Ac4c,桶6:弱听牌,8.13,11.32,9.86,+39.2%,+21.2%
OOP,7c6c,桶6:弱听牌,8.21,7.92,6.90,-3.5%,-16.0%
OOP,Ad4d,桶6:弱听牌,8.48,11.44,9.97,+35.0%,+17.5%
OOP,Ah4h,桶6:弱听牌,8.48,11.44,9.97,+35.0%,+17.5%
OOP,AsJs,桶7:纯空气,8.58,15.18,10.19,+76.9%,+18.7%
OOP,Ac8c,桶6:弱听牌,8.61,12.72,11.08,+47.8%,+28.8%
OOP,JsTs,桶7:纯空气,8.67,9.43,6.33,+8.8%,-27.0%
OOP,AsJd,桶7:纯空气,8.76,15.31,10.27,+74.7%,+17.2%
OOP,AsJh,桶7:纯空气,8.76,15.31,10.27,+74.7%,+17.2%
OOP,Ad8d,桶6:弱听牌,8.86,12.84,11.18,+44.9%,+26.2%
OOP,Ah8h,桶6:弱听牌,8.86,12.84,11.18,+44.9%,+26.2%
OOP,AsJc,桶7:纯空气,8.88,15.29,10.26,+72.2%,+15.5%
OOP,Ac9c,桶6:弱听牌,9.17,13.12,11.42,+43.1%,+24.6%
OOP,AcJs,桶7:纯空气,9.23,15.23,10.22,+65.1%,+10.8%
OOP,Ad9d,桶6:弱听牌,9.26,13.32,11.60,+43.9%,+25.3%
OOP,Ah9h,桶6:弱听牌,9.26,13.32,11.60,+43.9%,+25.3%
OOP,AcJd,桶7:纯空气,9.40,15.35,10.30,+63.4%,+9.6%
OOP,AcJh,桶7:纯空气,9.40,15.35,10.30,+63.4%,+9.6%
OOP,AdJs,桶7:纯空气,9.47,15.41,10.34,+62.8%,+9.2%
OOP,AhJs,桶7:纯空气,9.47,15.41,10.34,+62.8%,+9.2%
OOP,QsTs,桶7:纯空气,9.53,9.87,6.62,+3.6%,-30.5%
OOP,AhJd,桶7:纯空气,9.64,15.60,10.47,+61.8%,+8.6%
OOP,AdJh,桶7:纯空气,9.64,15.60,10.47,+61.8%,+8.6%
OOP,AdJc,桶7:纯空气,9.75,15.59,10.46,+59.9%,+7.3%
OOP,AhJc,桶7:纯空气,9.75,15.59,10.46,+59.9%,+7.3%
OOP,AcTc,桶6:弱听牌,10.19,14.77,12.87,+44.9%,+26.2%
OOP,AdTd,桶6:弱听牌,10.28,15.12,13.17,+47.0%,+28.0%
OOP,AhTh,桶6:弱听牌,10.28,15.12,13.17,+47.0%,+28.0%
OOP,5s4s,桶3:中等成牌,10.32,18.48,15.10,+79.1%,+46.3%
OOP,JdTd,桶6:弱听牌,10.54,11.02,9.60,+4.6%,-8.9%
OOP,JhTh,桶6:弱听牌,10.54,11.02,9.60,+4.6%,-8.9%
