位置,手牌,大桶,FullEV,DLEv,DLEv_corrected,DLEv偏差%,修正后偏差%
OOP,Ac4c,桶3:中等成牌,16.03,18.53,13.70,+15.6%,-14.5%
OOP,5c4c,桶3:中等成牌,16.45,17.05,12.60,+3.6%,-23.4%
OOP,TsTh,桶3:中等成牌,16.89,26.96,19.92,+59.6%,+17.9%
OOP,TsTc,桶3:中等成牌,16.92,27.06,20.00,+60.0%,+18.2%
OOP,ThTc,桶3:中等成牌,16.99,27.05,19.99,+59.2%,+17.7%
OOP,TsTd,桶3:中等成牌,17.09,27.21,20.10,+59.2%,+17.6%
OOP,ThTd,桶3:中等成牌,17.17,27.19,20.09,+58.3%,+17.0%
OOP,TdTc,桶3:中等成牌,17.20,27.30,20.17,+58.7%,+17.3%
OOP,Kd9d,桶6:弱听牌,18.19,16.70,17.15,-8.2%,-5.7%
OOP,Ks9s,桶6:弱听牌,18.26,16.99,17.45,-7.0%,-4.4%
OOP,Kh9h,桶6:弱听牌,18.40,16.88,17.33,-8.3%,-5.8%
OOP,AcTc,桶6:弱听牌,19.86,19.38,19.90,-2.4%,+0.2%
OOP,As4s,桶3:中等成牌,20.70,21.28,15.72,+2.8%,-24.0%
OOP,Ah4h,桶3:中等成牌,20.74,21.24,15.70,+2.4%,-24.3%
OOP,5s4s,桶3:中等成牌,20.86,19.95,14.74,-4.4%,-29.3%
OOP,5h4h,桶3:中等成牌,20.88,19.94,14.73,-4.5%,-29.4%
OOP,AcKc,桶5:常规强听牌,22.01,24.21,24.11,+10.0%,+9.6%
OOP,AdKc,桶5:常规强听牌,22.11,24.22,24.12,+9.6%,+9.1%
OOP,AhKc,桶5:常规强听牌,22.16,24.30,24.20,+9.6%,+9.2%
OOP,AsKc,桶5:常规强听牌,22.17,24.32,24.22,+9.7%,+9.3%
OOP,AcKh,桶5:常规强听牌,22.20,24.25,24.15,+9.3%,+8.8%
OOP,AcKs,桶5:常规强听牌,22.22,24.24,24.14,+9.1%,+8.6%
OOP,AcKd,桶5:常规强听牌,22.25,24.27,24.17,+9.0%,+8.6%
OOP,AdKh,桶5:常规强听牌,22.44,24.27,24.17,+8.2%,+7.7%
OOP,AdKs,桶5:常规强听牌,22.47,24.28,24.18,+8.0%,+7.6%
OOP,AsKh,桶5:常规强听牌,22.49,24.36,24.26,+8.3%,+7.9%
OOP,AhKs,桶5:常规强听牌,22.52,24.32,24.23,+8.0%,+7.6%
OOP,AhKd,桶5:常规强听牌,22.55,24.35,24.25,+8.0%,+7.5%
OOP,AsKd,桶5:常规强听牌,22.56,24.38,24.28,+8.1%,+7.6%
OOP,AdTd,桶6:弱听牌,23.53,21.68,22.27,-7.8%,-5.4%
OOP,AsTs,桶6:弱听牌,23.55,21.65,22.23,-8.1%,-5.6%
OOP,AhTh,桶6:弱听牌,23.70,21.74,22.32,-8.3%,-5.8%
OOP,JcTc,桶3:中等成牌,24.01,33.55,24.80,+39.7%,+3.3%
OOP,AdKd,桶5:常规强听牌,26.34,26.68,26.57,+1.3%,+0.9%
OOP,AsKs,桶5:常规强听牌,26.46,26.78,26.67,+1.2%,+0.8%
OOP,AhKh,桶5:常规强听牌,26.48,26.77,26.66,+1.1%,+0.7%
OOP,KcJc,桶3:中等成牌,27.20,36.85,27.23,+35.5%,+0.1%
OOP,JsTs,桶3:中等成牌,28.01,35.14,25.97,+25.4%,-7.3%
OOP,JdTd,桶3:中等成牌,28.44,35.80,26.46,+25.9%,-7.0%
OOP,AcJs,桶3:中等成牌,30.26,39.09,28.89,+29.2%,-4.5%
OOP,AcJc,桶3:中等成牌,30.35,39.26,29.01,+29.3%,-4.4%
OOP,AhJs,桶3:中等成牌,30.46,39.25,29.01,+28.9%,-4.8%
OOP,AhJc,桶3:中等成牌,30.57,39.42,29.13,+29.0%,-4.7%
OOP,AsJc,桶3:中等成牌,30.63,39.53,29.21,+29.1%,-4.6%
OOP,AdJs,桶3:中等成牌,30.68,39.47,29.17,+28.7%,-4.9%
OOP,AcJd,桶3:中等成牌,30.73,39.41,29.13,+28.2%,-5.2%
OOP,AdJc,桶3:中等成牌,30.78,39.64,29.29,+28.8%,-4.8%
OOP,AhJd,桶3:中等成牌,30.94,39.57,29.24,+27.9%,-5.5%
OOP,AsJd,桶3:中等成牌,31.01,39.67,29.32,+27.9%,-5.5%
OOP,KsJs,桶3:中等成牌,31.46,38.40,28.38,+22.0%,-9.8%
OOP,KdJd,桶3:中等成牌,31.70,38.61,28.53,+21.8%,-10.0%
OOP,KcTc,桶5:常规强听牌,32.31,27.85,27.74,-13.8%,-14.1%
OOP,AsJs,桶3:中等成牌,34.97,40.71,30.08,+16.4%,-14.0%
OOP,AdJd,桶3:中等成牌,35.32,41.04,30.33,+16.2%,-14.1%
OOP,KdTd,桶5:常规强听牌,35.88,30.13,30.01,-16.0%,-16.4%
OOP,KsTs,桶5:常规强听牌,35.91,30.14,30.02,-16.1%,-16.4%
OOP,KhTh,桶5:常规强听牌,36.10,30.04,29.92,-16.8%,-17.1%
OOP,QcTc,桶3:中等成牌,42.05,43.94,32.47,+4.5%,-22.8%
OOP,QhTh,桶3:中等成牌,45.41,45.16,33.38,-0.5%,-26.5%
OOP,QdTd,桶3:中等成牌,45.90,45.57,33.68,-0.7%,-26.6%
OOP,KcQh,桶2:中等顶对,48.63,48.19,47.86,-0.9%,-1.6%
OOP,KsQh,桶2:中等顶对,48.73,48.23,47.89,-1.0%,-1.7%
OOP,KdQh,桶2:中等顶对,48.81,48.26,47.92,-1.1%,-1.8%
OOP,KcQc,桶2:中等顶对,49.11,48.49,48.15,-1.3%,-1.9%
OOP,KhQc,桶2:中等顶对,49.19,48.54,48.20,-1.3%,-2.0%
OOP,KsQc,桶2:中等顶对,49.20,48.54,48.20,-1.4%,-2.0%
OOP,KdQc,桶2:中等顶对,49.29,48.56,48.22,-1.5%,-2.2%
OOP,KcQd,桶2:中等顶对,49.51,48.64,48.30,-1.8%,-2.4%
OOP,KhQd,桶2:中等顶对,49.57,48.70,48.35,-1.8%,-2.5%
OOP,KsQd,桶2:中等顶对,49.61,48.69,48.35,-1.8%,-2.5%
OOP,KhQh,桶2:中等顶对,51.91,49.47,49.13,-4.7%,-5.4%
OOP,KdQd,桶2:中等顶对,52.87,50.08,49.73,-5.3%,-5.9%
OOP,AcQh,桶2:中等顶对,59.85,53.24,52.87,-11.0%,-11.7%
OOP,AsQh,桶2:中等顶对,60.11,53.26,52.89,-11.4%,-12.0%
OOP,AcQc,桶2:中等顶对,60.24,53.51,53.13,-11.2%,-11.8%
OOP,AdQh,桶2:中等顶对,60.28,53.39,53.02,-11.4%,-12.0%
